date,daily_count
2026-05-31,9171
2026-06-01,8245
2026-06-02,8081
2026-06-03,9086
2026-06-04,8998
2026-06-05,8171
2026-06-06,8127
2026-06-07,8127
2026-06-08,7946
2026-06-09,10243
2026-06-10,10803
2026-06-11,9701
2026-06-12,9455
2026-06-13,9935
2026-06-14,12734
2026-06-15,11636
2026-06-16,10983
2026-06-17,11088
2026-06-18,11088
2026-06-19,11155
2026-06-20,11447
2026-06-21,11383
2026-06-22,11172
2026-06-23,11070
2026-06-24,11053
2026-06-25,11053
2026-06-26,11077
2026-06-27,11093
2026-06-28,13606
2026-06-29,14811
2026-06-30,13576
2026-07-01,13628
2026-07-02,13631
2026-07-03,14143
2026-07-04,14236
2026-07-05,14931
2026-07-06,15147
2026-07-07,16160
2026-07-08,15729
2026-07-09,15432
2026-07-10,15397
2026-07-11,14503
2026-07-12,14907
2026-07-13,14704
2026-07-14,14187
2026-07-15,14517
2026-07-16,14309
2026-07-17,14333
